Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IRPF;COFINS;RECEITA PREVIDENCIÁRIA;IRRF - RENDIMENTOS DO TRABALHO
2000;Julho;AP;40275.0;0.0;500859.0;1620634.0;0.0;244970.0
2000;Julho;AM;11228398.0;0.0;2152764.0;55127692.0;0.0;10059947.0
2000;Julho;BA;10759329.0;0.0;8268703.0;82137450.0;0.0;20046808.0
2000;Julho;CE;6306759.0;0.0;5343631.0;30069645.0;0.0;11456977.0
2000;Julho;DF;2338862.0;0.0;10202243.0;137610212.0;0.0;360976464.0
2000;Julho;ES;50254817.0;0.0;3955296.0;41670196.0;0.0;8907489.0
2000;Julho;GO;7525279.0;0.0;4900771.0;45934797.0;0.0;8987068.0
2000;Julho;MA;2761216.0;0.0;1541219.0;8043895.0;0.0;2180672.0
2000;Julho;MT;1556576.0;0.0;2127995.0;14567237.0;0.0;3763016.0
2000;Julho;MS;230314.0;0.0;3200779.0;12805197.0;0.0;3110781.0
2000;Julho;MG;32598812.0;35.0;24167733.0;186740092.0;0.0;52466632.0
2000;Julho;PA;1788485.0;18.0;3205248.0;16976810.0;0.0;9910668.0
2000;Julho;PB;1673612.0;0.0;2183634.0;10171520.0;0.0;3802049.0
2000;Julho;PR;76444547.0;0.0;15996750.0;131823838.0;0.0;33546565.0
2000;Julho;PE;10110375.0;0.0;40329393.0;48463947.0;0.0;13644531.0
2000;Julho;PI;259850.0;0.0;1448891.0;6027795.0;0.0;1563639.0
2000;Julho;RJ;49227365.0;0.0;61604252.0;682175833.0;0.0;179984180.0
2000;Julho;RN;852298.0;0.0;1842430.0;12179072.0;0.0;3195898.0
2000;Julho;RS;30533664.0;5863.0;24729072.0;193301911.0;0.0;50931964.0
2000;Julho;RO;2428.0;18.0;994787.0;5693097.0;0.0;816271.0
2000;Julho;RR;4105.0;0.0;397350.0;1182289.0;0.0;231281.0
2000;Julho;SC;15133075.0;13771.0;7807435.0;86602753.0;0.0;19095055.0
2000;Julho;SP;380637538.0;13610.0;125676713.0;1317253740.0;0.0;514683101.0
2000;Julho;SE;839909.0;0.0;7575387.0;8287121.0;0.0;2852947.0
2000;Julho;TO;30443.0;0.0;409403.0;3063085.0;0.0;394759.0
2000;Agosto;AC;514.0;0.0;437173.0;1637342.0;0.0;728529.0
2000;Agosto;AL;209961.0;17837.0;1698211.0;7420971.0;0.0;2638602.0
2000;Agosto;AP;48620.0;0.0;418449.0;1388632.0;0.0;313435.0
2000;Agosto;AM;15839749.0;0.0;2205350.0;60596537.0;0.0;10383647.0
2000;Agosto;BA;15695880.0;0.0;6158763.0;81656762.0;0.0;24793200.0
2000;Agosto;CE;5974802.0;0.0;5483575.0;31521622.0;0.0;11380685.0
2000;Agosto;DF;2756539.0;48.0;9906091.0;140609312.0;0.0;403199444.0
2000;Agosto;ES;68270325.0;14.0;3908826.0;46669183.0;0.0;9840318.0
2000;Agosto;GO;10659518.0;0.0;4812044.0;47866402.0;0.0;8496335.0
2000;Agosto;MA;4348953.0;251.0;1583120.0;8750369.0;0.0;3498956.0
2000;Agosto;MT;780772.0;0.0;2169938.0;14162644.0;0.0;3450831.0
2000;Agosto;MS;326631.0;554.0;3233368.0;10827031.0;0.0;2958765.0
2000;Agosto;MG;43258844.0;35.0;22168283.0;223147407.0;0.0;56184698.0
2000;Agosto;PA;3800357.0;1624.0;3093062.0;17777093.0;0.0;6674364.0
2000;Agosto;PB;1323504.0;0.0;2183767.0;10998789.0;0.0;4671158.0
2000;Agosto;PR;87102830.0;0.0;16016136.0;139192121.0;0.0;44223485.0
2000;Agosto;PE;9254562.0;0.0;6886355.0;57339635.0;0.0;14034452.0
2000;Agosto;PI;359136.0;0.0;1495745.0;6927638.0;0.0;1414036.0
2000;Agosto;RJ;63163202.0;18.0;61727523.0;784745048.0;0.0;220062603.0
2000;Agosto;RN;754614.0;0.0;1805089.0;11375266.0;0.0;3479635.0
2000;Agosto;RS;36369075.0;5649.0;23689428.0;193464844.0;0.0;57416753.0
2000;Agosto;RO;47081.0;0.0;873441.0;5562904.0;0.0;858954.0
2000;Agosto;RR;3199.0;0.0;443702.0;1332697.0;0.0;772046.0
2000;Agosto;SC;16511953.0;13412.0;7305625.0;91771881.0;0.0;19234744.0
2000;Agosto;SP;426522221.0;199.0;130596479.0;1360744491.0;0.0;571995393.0
2000;Agosto;SE;844711.0;0.0;1917133.0;8549800.0;0.0;2855557.0
2000;Agosto;TO;101519.0;0.0;395684.0;3423718.0;0.0;471487.0
2000;Setembro;AC;296.0;0.0;421224.0;1762985.0;0.0;570288.0
2000;Setembro;AL;699893.0;17966.0;1335267.0;6354976.0;0.0;2700600.0
2000;Setembro;AP;29380.0;0.0;427439.0;1603206.0;0.0;228616.0
2000;Setembro;AM;11926902.0;336.0;2142129.0;65114328.0;0.0;9791203.0
2000;Setembro;BA;14305081.0;416.0;5303579.0;83739369.0;0.0;14959778.0
2000;Setembro;CE;9794955.0;90.0;5414962.0;37127229.0;0.0;11806694.0
2000;Setembro;DF;1800325.0;482.0;8073225.0;135717777.0;0.0;550709812.0
2000;Setembro;ES;80560936.0;191.0;3388128.0;45908182.0;0.0;8532698.0
2000;Setembro;GO;10627005.0;808.0;4397035.0;48336736.0;0.0;8014084.0
2000;Setembro;MA;6289384.0;209.0;1334886.0;9435053.0;0.0;2760060.0
2000;Setembro;MT;1308691.0;977.0;2034144.0;15819699.0;0.0;3503359.0
